,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
614,41.01,37.32,3.69,41.01,29.46,32.81,3.35,32.81,26.95,27.48,0.53,0.07,18.73,46.62,28.83,0.82,0.88,-21.17,-25.60
615,33.48,42.39,8.92,42.39,28.89,30.27,1.38,30.27,24.54,26.94,2.41,0.10,22.13,52.02,30.99,0.87,0.89,-23.68,-22.87
616,40.37,38.43,1.94,40.37,30.05,31.24,1.19,31.24,26.45,25.96,0.49,0.14,22.49,50.99,29.62,0.89,0.80,-25.54,-19.57
617,36.20,36.40,0.20,36.40,29.44,29.08,0.36,29.44,25.26,25.74,0.48,0.06,22.86,52.94,31.23,0.87,0.90,-22.25,-24.04
618,36.36,35.70,0.66,36.36,28.51,29.56,1.05,29.56,24.18,24.81,0.62,0.04,21.52,52.72,32.27,0.82,0.88,-18.34,-23.54
619,38.04,33.67,4.37,38.04,32.16,28.15,4.01,32.16,27.10,23.56,3.54,0.03,21.07,50.61,30.59,0.86,0.83,-23.22,-20.20
620,36.62,36.61,0.01,36.62,28.56,30.41,1.85,30.41,24.73,26.46,1.73,0.08,20.94,50.62,30.73,0.90,0.88,-23.76,-23.19
621,35.09,33.74,1.35,35.09,29.11,28.52,0.58,29.11,24.44,23.78,0.65,0.05,24.35,54.65,31.52,0.91,0.85,-24.32,-20.07
622,34.72,34.84,0.12,34.84,29.84,25.14,4.71,29.84,25.03,22.25,2.78,0.06,24.95,57.57,33.87,0.90,0.81,-25.02,-15.17
623,33.91,40.34,6.43,40.34,29.85,31.03,1.18,31.03,25.74,27.40,1.67,0.07,28.59,57.27,30.11,0.88,0.84,-24.37,-22.17
624,44.58,35.23,9.35,44.58,31.52,26.36,5.16,31.52,27.86,23.56,4.29,0.08,19.52,50.68,32.14,0.93,0.84,-26.27,-18.97
625,38.72,39.61,0.89,39.61,30.60,30.47,0.13,30.60,25.99,25.58,0.41,0.10,30.55,60.95,31.92,0.91,0.81,-25.50,-19.31
626,30.89,34.31,3.42,34.31,26.46,29.38,2.92,29.38,23.54,26.21,2.67,0.03,19.90,50.95,32.05,0.89,0.90,-22.13,-24.01
627,32.60,41.23,8.62,41.23,26.10,33.25,7.15,33.25,23.14,29.23,6.09,0.05,23.16,52.53,30.54,0.84,0.91,-19.41,-27.85
628,31.65,35.72,4.07,35.72,27.95,28.96,1.01,28.96,24.41,25.58,1.17,0.02,40.23,69.89,31.67,0.87,0.89,-22.23,-23.34
629,39.56,40.96,1.40,40.96,27.83,31.39,3.56,31.39,24.96,28.30,3.34,0.06,27.57,57.27,31.08,0.86,0.92,-21.08,-27.32
630,35.37,39.79,4.42,39.79,27.80,30.63,2.83,30.63,23.70,26.20,2.51,0.08,21.17,53.17,33.06,0.87,0.91,-20.78,-25.27
631,36.80,38.16,1.36,38.16,27.99,29.14,1.15,29.14,24.74,26.06,1.32,0.08,22.61,52.96,31.48,0.86,0.88,-21.75,-23.03
632,37.71,40.04,2.32,40.04,30.33,31.94,1.61,31.94,26.35,27.06,0.70,0.08,27.02,56.05,30.38,0.89,0.90,-25.14,-25.07
633,34.50,38.04,3.53,38.04,28.06,30.15,2.10,30.15,24.94,26.52,1.58,0.07,24.37,54.43,31.28,0.89,0.86,-23.43,-22.16
634,35.92,31.19,4.73,35.92,29.12,26.03,3.10,29.12,23.68,22.58,1.10,0.05,23.09,57.47,35.54,0.79,0.87,-15.82,-20.63
635,36.59,38.87,2.28,38.87,28.38,30.61,2.23,30.61,24.39,27.03,2.63,0.12,17.77,48.16,31.29,0.82,0.87,-18.76,-23.36
